Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CN1C=NC2C1C(=O)N(C)C(=O)N2C	NCGC00488574-01	CANVASS	1	0	4.081	1.033	4.888	inf	-0.1221	0.4351	-2.023	inf	3.915	inf	3.436	0.8259	-0.7646	0.3585	-	- = 0.55;+ = 0.45;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.14;yes = 0.86;	medium	low = 0.230769;medium = 0.538462;high = 0.153846;very high = 0.0769231;	low	low = 0.97;high = 0.03;	196.2	0	0	0	6	0	56.22	0	0	0	0	0
C[C@]1(CCC(=O)NC2=C(O)C(=CC=C2O)C(O)=O)C3CC4C(O)C[C@]3(CC4=C)C=CC1=O	NCGC00488516-01	CANVASS	1	0	2.133	1.033	3.837	inf	1.582	0.4351	-0.6616	inf	4.764	0.6013	3.374	0.7249	-1.159	inf	-	- = 0.94;+ = 0.06;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.32;yes = 0.68;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.62;high = 0.38;	441.5	0	5	0	8	0	144.2	0	0.1714	0	6	0
C[C@]1(CCC(=O)NC2=C(O)C(=CC=C2O)C(O)=O)C3CC4CC(O)[C@]3(CC4=C)C=CC1=O	NCGC00488517-01	CANVASS	1	0	2.133	1.033	3.828	inf	1.582	0.4351	-0.635	inf	4.764	0.6013	3.396	0.7247	-1.165	inf	-	- = 0.93;+ = 0.07;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.31;yes = 0.69;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.61;high = 0.39;	441.5	0	5	0	8	0	144.2	0	0.1714	0	6	0
CC(CCC1CCC(C)(C2CCC(=C)C[C@]12C)C(O)=O)=CC(=O)NC(CCC(N)=O)C(O)=O	NCGC00488521-01	CANVASS	1	0	2.154	1.033	3.576	0.621	2.235	0.4351	-0.5505	inf	4.804	inf	2.278	0.9222	-1.495	inf	-	- = 0.86;+ = 0.14;	-	- = 0.933333;+ = 0.0666667;	yes	no = 0.3;yes = 0.7;	high	low = 0.133333;medium = 0.2;high = 0.6;very high = 0.0666667;	high	low = 0.43;high = 0.57;	462.6	0	4	0	8	0	146.8	0	0.3235	0	11	0
CCCCCC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C=O	NCGC00488512-01	CANVASS	1	0	3.39	1.033	3.984	0.621	1.024	0.4351	-0.4952	inf	4.137	0.6013	2.655	0.7835	-0.9608	inf	-	- = 0.94;+ = 0.06;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.28;yes = 0.72;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.71;high = 0.29;	342.4	0	3	0	7	0	112.6	0	0.6522	0	15	0
C[C@]1(CCC(=O)NC2=C(O)C(=CC=C2OC3OC(CO)C(O)C(O)C3O)C(O)=O)C4CC5CC[C@]4(CC5=C)C=CC1=O	NCGC00488622-01	CANVASS	1	0	3.141	1.033	3.793	inf	-0.005466	0.4351	-0.4917	inf	5.091	inf	3.21	0.8611	-1.524	inf	-	- = 0.88;+ = 0.12;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.02;yes = 0.98;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.67;high = 0.33;	587.6	0	7	0	12	0	203.1	0	0.1957	0	9	0
C[C@]1(CCC(=O)NC2=C(O)C(=CC=C2O)C(O)=O)C3CC4CC[C@@]3(C=CC1=O)C(O)C4=C	NCGC00488518-01	CANVASS	1	0	2.015	1.033	3.493	inf	1.71	0.4351	-0.441	inf	4.643	0.6013	3.472	0.7289	-1.156	inf	-	- = 0.93;+ = 0.07;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.32;yes = 0.68;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.59;high = 0.41;	441.5	0	5	0	8	0	144.2	0	0.1714	0	6	0
COC(=O)[C@@]12OC3=CC=CC(=C3C(=O)C1=C(O)CC(C)C2O)O	NCGC00488800-01	CANVASS	1	0	2.144	0.7036	2.958	inf	1.777	0.4351	-0.361	inf	4.676	0.6013	3.275	0.6415	-0.8539	0.3585	-	- = 0.96;+ = 0.04;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.57;yes = 0.43;	low	low = 0.782609;medium = 0.130435;high = 0.0434783;very high = 0.0434783;	low	low = 0.69;high = 0.31;	320.3	0	3	0	7	0	113.3	0	0.08	0	2	0
OCC1OC(OC2=CC(=C3[C](=O)C=C(OC3=C2)C4=CC=C(O)C(=C4)O)O)C(O)C(O)C1O	NCGC00163589-04	CANVASS	1	0	3.534	1.033	4.334	inf	-0.3954	0.4351	-0.3592	inf	5.4	inf	4.05	0.8857	-1.384	inf	-	- = 0.89;+ = 0.11;	-	- = 0.894737;+ = 0.105263;	no	no = 0.7;yes = 0.3;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.56;high = 0.44;	448.4	0	7	0	11	0	190.3	0	0.1143	0	4	0
CC(CCC[C@@]1(C)C2C3CC4C(O)[C@]2(C[C@]4(C)O3)C=CC1=O)C(O)=O	NCGC00488740-01	CANVASS	1	0	2.599	1.033	3.696	0.621	2.202	0.4351	-0.346	inf	4.728	0.6013	3.703	0.5929	-1.093	inf	-	- = 0.75;+ = 0.25;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.65;yes = 0.35;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.66;high = 0.34;	348.4	0	2	0	5	0	83.83	0	0.1786	0	5	0
