structure	order	scaffold_id	scaffold_key	color
C1=C(NCc2cccnc2)NCNC1	4950	scaffold.20148	14 2 3 2 0 6 1 1 4 0 0 0 4 4 0 0 0 4 0 0 0 2 0 0 2 0 0 0 0 0 0 0 XNDSLOQCMNJUGE-UHFFFAOYSA-N	1
O=C1OCCN=C1NNc1ccccc1	4951	scaffold.26725	14 2 3 2 0 6 1 1 4 0 0 1 3 5 0 0 2 3 0 1 0 0 2 0 2 1 0 0 0 0 1 0 JBHDCIOHOMFGTL-UHFFFAOYSA-N	1
O=C1OCOC=C1N=Nc1ccccc1	4952	scaffold.25812	14 2 3 2 0 6 1 1 4 0 0 2 2 5 0 0 3 2 0 0 0 1 1 1 3 2 0 0 0 0 1 0 RYJDGQLWCLHLLQ-UHFFFAOYSA-N	1
C1=NCNCN1CCc1ccccc1	4953	scaffold.18107	14 2 3 2 0 6 1 1 5 0 0 0 5 3 0 0 0 3 0 0 0 2 0 0 1 0 0 0 0 1 0 1 UVTKENWWCOCGAV-UHFFFAOYSA-N	1
C1=NCN(CCc2ccccc2)CN1	4954	scaffold.18141	14 2 3 2 0 6 1 1 5 0 0 0 5 3 0 0 0 3 0 0 0 2 0 0 1 0 0 0 0 1 0 1 UZBFVVZOCPHPSG-UHFFFAOYSA-N	1
N=C1N=CNCN1OCc1ccccc1	4955	scaffold.25001	14 2 3 2 0 6 1 1 6 0 0 1 5 5 0 0 1 4 0 1 0 2 0 0 3 1 0 0 0 1 1 1 ZYYAQMFJNZLYHN-UHFFFAOYSA-N	1
O=S(=O)(Cc1ccccc1)C1C=CCCC1	4956	scaffold.35104	14 2 3 2 0 6 1 1 6 0 6 0 0 3 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 1 2 1 LAUGWQQGWQHQMJ-UHFFFAOYSA-N	1
O=S(=O)(Nc1ccccc1)C1C=CCCC1	4957	scaffold.34486	14 2 3 2 0 6 1 1 7 0 6 0 1 4 0 1 2 1 0 1 0 0 0 2 2 0 0 0 0 1 2 1 JZIOUYSSJUBFBT-UHFFFAOYSA-N	1
O=S1(=O)CCOC(NCc2ccccc2)=N1	4958	scaffold.40875	14 2 3 2 0 6 1 1 9 0 6 1 2 6 0 1 3 2 0 1 0 1 1 2 5 2 0 0 0 0 2 0 YKWGCNQQRXPVTO-UHFFFAOYSA-N	1
O=S(=O)(NC1=NCNCN1)c1ccccc1	4959	scaffold.37081	14 2 3 2 0 6 1 1 10 0 6 0 4 7 0 1 2 4 0 1 0 3 0 2 4 0 0 0 0 0 2 0 OLKWZZPLDOJUSF-UHFFFAOYSA-N	1
O=C(CN1C(=O)C=COS1(=O)=O)c1ccccc1	4960	scaffold.74146	14 2 3 2 0 6 1 1 10 0 6 1 3 7 0 1 5 1 0 2 1 0 0 2 6 1 0 0 0 1 4 1 XJRBSZQFYYOXDU-UHFFFAOYSA-N	1
C=C1C=NC=CC1/C=C/c1ccccc1	4961	scaffold.23492	14 2 3 2 0 6 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 ZGGUTSWVGZQIPZ-BQYQJAHWSA-N	1
C1=CC(/C=C/c2ccccc2)C=CN1	4962	scaffold.19207	14 2 3 2 0 6 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 NSHGLOFENFFPHI-VOTSOKGWSA-N	1
C1=NC(/C=C/c2ccccc2)=CCN1	4963	scaffold.17891	14 2 3 2 0 6 1 2 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 SFRHUKUQXDZXNZ-VOTSOKGWSA-N	1
C1=CSSC(COc2ccccc2)=C1	4964	scaffold.15663	14 2 3 2 0 6 1 2 3 0 2 1 0 3 0 2 1 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0 LFJSPSHGOYLRDV-UHFFFAOYSA-N	1
C1=NCNC(NCc2ccccc2)=N1	4965	scaffold.17120	14 2 3 2 0 6 1 2 4 0 0 0 4 4 0 0 0 4 0 0 0 2 0 0 3 1 0 0 0 0 0 0 KCWQBLPLGWPSBI-UHFFFAOYSA-N	1
C1=NC=NCN1OCc1ccccc1	4966	scaffold.17343	14 2 3 2 0 6 1 2 6 0 0 1 5 4 0 0 1 3 0 1 0 1 0 0 2 1 0 0 0 1 0 1 OJRVCRQVXJWTPC-UHFFFAOYSA-N	1
C(=Cc1ccccc1)c1ccccc1	4967	scaffold.17344	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 PJANXHGTPQOBST-UHFFFAOYSA-N	1
C=C(Cc1ccccc1)c1ccccc1	4968	scaffold.25283	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 KNOSFUPOBWJKGG-UHFFFAOYSA-N	1
C=C(C(=C)c1ccccc1)c1ccccc1	4969	scaffold.32655	14 2 3 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 LGLDSEPDYUTBNZ-UHFFFAOYSA-N	1
N=C(Cc1ccccc1)c1ccccc1	4970	scaffold.23692	14 2 3 2 0 6 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 GRGOBDJHERORKV-UHFFFAOYSA-N	1
C=C(C(=O)c1ccccc1)c1ccccc1	4971	scaffold.32108	14 2 3 2 0 6 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 ZTKPNSXSOUTJFJ-UHFFFAOYSA-N	1
N=C(C(=N)c1ccccc1)c1ccccc1	4972	scaffold.34185	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 2 1 MKZIBTHMNDHCIP-UHFFFAOYSA-N	1
O=C(C(=O)c1ccccc1)c1ccccc1	4973	scaffold.32556	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 WURBFLDFSFBTLW-UHFFFAOYSA-N	1
O=C1C=CC(=O)C(CCc2ccccc2)=C1	4974	scaffold.34450	14 2 3 2 0 6 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0 SSRMWOPGMSWARB-UHFFFAOYSA-N	1
O=C1C=CC(=O)C(CCC2=CC(=O)C=CC2=O)=C1	4975	scaffold.60562	14 2 3 2 0 6 2 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 8 0 0 0 0 4 0 XWYOMGXZBJEFQO-UHFFFAOYSA-N	1
C(=C\c1ccccn1)\c1ccccc1	4976	scaffold.15887	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BIAWAXVRXKIUQB-KTKRTIGZSA-N	1
C(=C/c1ccccn1)\c1ccccc1	4977	scaffold.14840	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BIAWAXVRXKIUQB-MDZDMXLPSA-N	1
C(=C/c1cccc[nH+]1)\c1ccccc1	4978	scaffold.17519	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BIAWAXVRXKIUQB-MDZDMXLPSA-O	1
C(=Cc1cccc[nH+]1)c1ccccc1	4979	scaffold.17502	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BIAWAXVRXKIUQB-UHFFFAOYSA-O	1
C(=Cc1cc[nH+]cc1)c1ccccc1	4980	scaffold.17494	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 QKHRGPYNTXRMSL-UHFFFAOYSA-O	1
C(=C/c1ccncc1)\c1ccccc1	4981	scaffold.14842	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 QKHRGPYNTXRMSL-VOTSOKGWSA-N	1
C(=C/c1cc[nH+]cc1)\c1ccccc1	4982	scaffold.15817	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 QKHRGPYNTXRMSL-VOTSOKGWSA-O	1
C(=C/c1cccnc1)\c1ccccc1	4983	scaffold.14825	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 RMSGACVDMOLUPL-CMDGGOBGSA-N	1
C(=C/c1ccc[nH+]c1)\c1ccccc1	4984	scaffold.14833	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 RMSGACVDMOLUPL-CMDGGOBGSA-O	1
C(=C\c1cccnc1)\c1ccccc1	4985	scaffold.15776	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 RMSGACVDMOLUPL-HJWRWDBZSA-N	1
C(=Cc1cccnc1)c1ccccc1	4986	scaffold.19251	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 RMSGACVDMOLUPL-UHFFFAOYSA-N	1
C(=N\c1ccccc1)\c1ccccc1	4987	scaffold.15770	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 UVEWQKMPXAHFST-KAMYIIQDSA-N	1
C(=[NH+]/c1ccccc1)\c1ccccc1	4988	scaffold.18059	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 UVEWQKMPXAHFST-SDNWHVSQSA-O	1
C(=Nc1ccccc1)c1ccccc1	4989	scaffold.17517	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 UVEWQKMPXAHFST-UHFFFAOYSA-N	1
c1ccc(CCc2cccnc2)cc1	4990	scaffold.14837	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 DXKCYWXEHAMAQW-UHFFFAOYSA-N	1
c1ccc(C[NH2+]c2ccccc2)cc1	4991	scaffold.15339	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 GTWJETSWSUWSEJ-UHFFFAOYSA-O	1
c1ccc(CCc2ccccn2)cc1	4992	scaffold.15252	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 NIJWAAUHTPDGOM-UHFFFAOYSA-N	1
c1ccc(CCc2ccncc2)cc1	4993	scaffold.15607	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 UWLBLNRDXXHYGS-UHFFFAOYSA-N	1
C=C(Nc1ccccc1)c1ccccc1	4994	scaffold.26165	14 2 3 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 AVSXJUAELWJJMS-UHFFFAOYSA-N	1
N=C(Nc1ccccc1)c1ccccc1	4995	scaffold.22790	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 MPYOKHFSBKUKPQ-UHFFFAOYSA-N	1
O=C(Cc1ccncc1)c1ccccc1	4996	scaffold.27856	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 ACULMSXMKICJIS-UHFFFAOYSA-N	1
O=C(Cc1ccccn1)c1ccccc1	4997	scaffold.23460	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 CMOXTMGJZNCXEI-UHFFFAOYSA-N	1
O=C(Cc1cccnc1)c1ccccc1	4998	scaffold.22553	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 DDEBMFBOWGAMAX-UHFFFAOYSA-N	1
O=C1C=CC(=CC=C2C=CNC=C2)C=C1	4999	scaffold.27154	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 2 7 0 0 0 0 3 0 DSMNCROJXAESJI-UHFFFAOYSA-N	1
S=C(Nc1ccccc1)c1ccccc1	5000	scaffold.23079	14 2 3 2 0 6 2 0 1 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 BOQKCADLPNLYCZ-UHFFFAOYSA-N	1
O=C(C(=O)c1ccccn1)c1ccccc1	5001	scaffold.34771	14 2 3 2 0 6 2 0 1 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 2 1 YJHZXKQYHAYVOU-UHFFFAOYSA-N	1
O=C1C=CC(=O)C(CNc2ccccc2)=C1	5002	scaffold.39528	14 2 3 2 0 6 2 0 1 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 0 4 0 0 0 0 2 0 GSCVLQNEDUKTLJ-UHFFFAOYSA-N	1
c1ccc(C[SH+]c2ccccc2)cc1	5003	scaffold.17363	14 2 3 2 0 6 2 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 LKMCJXXOBRCATQ-UHFFFAOYSA-O	1
C(=N/c1ccccc1)\c1cccnc1	5004	scaffold.20088	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BMROZNZIAYCBGB-GXDHUFHOSA-N	1
C(=Nc1ccccc1)c1cccnc1	5005	scaffold.18094	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 BMROZNZIAYCBGB-UHFFFAOYSA-N	1
C(=N/c1ccccc1)\c1ccccn1	5006	scaffold.15881	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 CSGRSRYPHUABSU-GXDHUFHOSA-N	1
C(=N/c1ccccc1)\c1ccncc1	5007	scaffold.19298	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 DDHVJFYBTGEOJS-GXDHUFHOSA-N	1
C(=[NH+]/c1ccccc1)\c1ccncc1	5008	scaffold.18198	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 DDHVJFYBTGEOJS-GXDHUFHOSA-O	1
C(=C/c1ccccn1)\c1ccccn1	5009	scaffold.15464	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 HKEOCEQLCZEBMK-BQYQJAHWSA-N	1
C(=C/c1cccnc1)\c1ccncc1	5010	scaffold.15870	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 LELJBILQTLAIMQ-ONEGZZNKSA-N	1
C(=Cc1cccnc1)c1ccncc1	5011	scaffold.19284	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 LELJBILQTLAIMQ-UHFFFAOYSA-N	1
C(=N\c1ccncc1)\c1ccccc1	5012	scaffold.20197	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NZHRBTNMXSLQDZ-UVTDQMKNSA-N	1
c1ccc(NCc2cccnc2)cc1	5013	scaffold.15801	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 BJXLHKJBRORJJJ-UHFFFAOYSA-N	1
c1cc(CCc2ccncc2)ccn1	5014	scaffold.15440	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 DQRKTVIJNCVZAX-UHFFFAOYSA-N	1
c1ccc(CCc2cccnc2)nc1	5015	scaffold.16411	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 FKRHNJKOAMFDOX-UHFFFAOYSA-N	1
c1ccc(NCc2ccncc2)cc1	5016	scaffold.14948	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 IRJVUOQNBSTXGA-UHFFFAOYSA-N	1
c1ccc(CNc2ccncc2)cc1	5017	scaffold.16001	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 LCUREJHJUJCKQS-UHFFFAOYSA-N	1
