ID_x	Structure_x	bms_x	sk_struct_x	idx_x	closest_order_x	bucket_id_x	embedded_hs_coordinates_x	Dim_1_x	Dim_2_x	is_valid_x	key	ID_y	Structure_y	bms_y	sk_struct_y	idx_y	closest_order_y	bucket_id_y	embedded_hs_coordinates_y	Dim_1_y	Dim_2_y	is_valid_y	not_nn_mol_query	not_nn_mol_target	not_nn_fp_query	not_nn_fp_target	sim
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB11994	CC(=O)OC1=CC=CC2=C1C(=O)C3=C(OC(C)=O)C=C(C=C3C2=O)C(O)=O	O=C1c2ccccc2C(=O)c2ccccc21	14 0 0 3 0 6 3 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 4 2 4	1449	4409	5197	97;11	97	11	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda8f0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60ee2df0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86670>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60eda940>	0.07777777777777778
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00593	CCC1(C)CC(=O)NC1=O	O=C1CCC(=O)N1	5 0 0 1 0 5 0 0 1 0 0 0 1 3 0 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 2 0	336	29	35	5;5	5	5	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda8a0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7fd50>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86710>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e89e90>	0.046875
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00613	CCN(CC)CC1=CC(=CC=C1O)NC2=C3C=CC(=CC3=NC=C2)Cl	c1ccc(Nc2ccnc3ccccc23)cc1	17 1 2 3 0 6 3 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 2 1 1 1 0 1	354	11476	13525	56;86	56	86	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda120>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7fda0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86760>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e89ee0>	0.09
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00172	OC(=O)C1CCCN1	C1CCNC1	5 0 0 1 0 5 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	28	22	27	7;3	7	3	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda530>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7fd00>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e867b0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b030>	0.031746031746031744
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00704	OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(=C2[C@@]34CCN5CC6CC6)C=C1	O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3CC2CC2)[C@H]1O5	22 1 2 6 1 6 1 2 4 0 0 1 3 3 0 0 2 1 0 0 0 0 0 0 0 0 7 3 8 14 1 14	422	28679	33798	160;131	160	131	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edaa80>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7fe90>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86800>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b080>	0.05405405405405406
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00204	CN(CCOC1=CC=C(N[S](C)(=O)=O)C=C1)CCC2=CC=C(N[S](C)(=O)=O)C=C2	c1ccc(CCNCCOc2ccccc2)cc1	18 6 7 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	53	16117	18994	55;178	55	178	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edaa30>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7fee0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86850>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b0d0>	0.11764705882352941
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB01104	CNC1CCC(C2=CC(=C(Cl)C=C2)Cl)C3=C1C=CC=C3	c1ccc(C2CCCc3ccccc32)cc1	16 0 0 3 0 6 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 1 0 1	712	7855	9258	103;70	103	70	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda300>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7ff30>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e868a0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b120>	0.125
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB01114	CN(C)CCC(C1=CC=C(Cl)C=C1)C2=NC=CC=C2	c1ccc(Cc2ccccn2)cc1	13 1 2 2 0 6 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0	721	3283	3870	53;2	53	2	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60eda170>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e7ff80>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e868f0>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b170>	0.2328767123287671
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00860	C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO	O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21	17 0 0 4 0 6 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 4 0 3 3 1 3	535	10765	12687	37;119	37	119	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edabc0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81030>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86940>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b1c0>	0.04672897196261682
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C2=C(Cl)C=CC=C2	c1ccc(Cc2ccccc2)cc1	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0	997	3124	3683	34;10	34	10	True	1	DB00770	CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(O)=O	O=C1CCCC1	5 0 0 1 0 5 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0	468	21	26	7;2	7	2	True	<rdkit.Chem.rdchem.Mol object at 0x7f9c60edaad0>	<rdkit.Chem.rdchem.Mol object at 0x7f9c60e81080>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e86990>	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f9c60e8b210>	0.0594059405940594
