scaffold_id	Dim_1	Dim_2	color
scaffold.20148	5.345265	-22.572222	1
scaffold.26725	-0.15454309	-14.045759	1
scaffold.25812	-46.881207	3.4983594	1
scaffold.18107	2.4014099	27.180185	1
scaffold.18141	41.1012	12.80092	1
scaffold.25001	-3.348453	24.60816	1
scaffold.35104	-8.729356	40.395287	1
scaffold.34486	-8.844598	40.32777	1
scaffold.40875	2.7139983	-47.805088	1
scaffold.37081	-17.49126	-45.359493	1
scaffold.74146	-26.786457	25.486614	1
scaffold.23492	-35.587154	55.4492	1
scaffold.19207	-33.98776	55.77089	1
scaffold.17891	-43.444286	-15.417438	1
scaffold.15663	10.889277	-17.907001	1
scaffold.17120	2.0533533	-49.072186	1
scaffold.17343	1.6408485	27.171604	1
scaffold.17344	-43.41	-15.446986	1
scaffold.25283	-28.845371	1.366703	1
scaffold.32655	-22.3622	-16.549704	1
scaffold.23692	-28.852226	1.3796737	1
scaffold.32108	-22.37267	-16.539906	1
scaffold.34185	-22.31968	-16.591625	1
scaffold.32556	-22.383516	-16.535597	1
scaffold.34450	-36.689106	14.536734	1
scaffold.60562	-36.69277	14.53974	1
scaffold.15887	-44.553623	-16.967129	1
scaffold.14840	-44.553623	-16.967129	1
scaffold.17519	-42.223843	-16.005424	1
scaffold.17502	-42.223923	-16.005415	1
scaffold.17494	-42.86743	-15.425404	1
scaffold.14842	-43.778458	-15.491328	1
scaffold.15817	-42.869156	-15.430925	1
scaffold.14825	-44.93155	-15.067726	1
scaffold.14833	-42.95637	-15.443482	1
scaffold.15776	-44.935196	-15.066101	1
scaffold.19251	-44.93511	-15.066667	1
scaffold.15770	-42.335052	-29.774704	1
scaffold.18059	-43.56941	-13.210966	1
scaffold.17517	-42.335556	-29.774134	1
scaffold.14837	2.5286446	-12.886833	1
scaffold.15339	7.042706	-15.757498	1
scaffold.15252	2.945528	-13.261573	1
scaffold.15607	3.0521908	-12.544758	1
scaffold.26165	-24.103561	-14.795657	1
scaffold.22790	-22.717329	-24.17893	1
scaffold.27856	-10.181465	-9.948162	1
scaffold.23460	-9.804073	-9.741791	1
scaffold.22553	-10.24397	-9.994853	1
scaffold.27154	-39.914486	51.293404	1
scaffold.23079	-24.660742	-13.458578	1
scaffold.34771	-12.846787	-25.103067	1
scaffold.39528	-36.679802	14.532886	1
scaffold.17363	4.04287	-12.907294	1
scaffold.20088	-42.29022	-29.411009	1
